year,Datetime,q_05,q_15,q_25,q_35,q_5,q_65,q_75,q_85,q_95,actual
40,15/07/2019 19:30,37.98838425,40.72434616,39.61110306,42.48385239,46.77380753,47.87875748,50.2902298,49.21616364,56.23794937,56.71
41,15/07/2019 20:00,36.32181931,39.22074127,37.8097496,40.27189636,44.46999741,45.39377975,47.17784119,45.47223282,52.29518509,55.72
42,15/07/2019 20:30,34.63434601,37.86113358,36.26893616,38.69453049,41.67817307,42.58917618,44.05744934,43.27576065,49.74485779,50.41
43,15/07/2019 21:00,32.97105408,36.66180038,35.05872345,37.58076859,39.58213425,40.14218521,41.56936264,42.04097748,47.72986221,45.1
44,15/07/2019 21:30,31.33185959,35.51501846,34.10242844,36.6380043,38.4180336,38.62384415,39.68896484,40.98365784,45.65150452,47.1
45,15/07/2019 22:00,29.66924858,34.3342514,33.26131058,35.67853928,37.45475006,37.68934631,38.20004272,39.75174713,43.33942032,49.1
46,15/07/2019 22:30,27.8936367,33.08745193,32.41937637,34.570858,36.30850601,36.69625473,36.84641647,38.14640427,40.96621323,46.05
47,15/07/2019 23:00,25.91342354,31.74596024,31.47991371,33.24412537,34.94942856,35.34816742,35.48985672,36.1713562,38.8243103,43
48,15/07/2019 23:30,23.72309875,30.24225044,30.36275673,31.8023243,33.5284996,33.85218811,34.11161041,34.27127075,37.11657333,41.545
49,16/07/2019 00:00,24.68196487,25.43698692,30.29947853,30.39857864,30.50473213,32.81616211,33.60963058,34.50721359,38.85674667,40.09
50,16/07/2019 00:30,23.54892349,24.96700478,29.14172363,29.60930634,31.45823479,32.79187775,32.02653503,33.30720901,36.80627823,39.065
51,16/07/2019 01:00,22.15873909,24.24150276,28.08373642,29.05298615,31.54829979,32.38273239,30.91251183,32.36464691,35.73194122,38.04
52,16/07/2019 01:30,21.22757149,23.74995422,27.25566292,28.72905159,31.51758957,32.04211044,30.50940704,32.13237381,35.45973969,38.42
53,16/07/2019 02:00,20.82710075,23.67072487,26.83464432,28.77572441,31.44347572,31.89675713,30.65499496,32.61975479,35.70930862,38.8
54,16/07/2019 02:30,20.99201584,24.15226746,27.05250359,29.25209427,31.50227165,32.01747131,31.24807549,33.70386887,36.44424057,38.8
55,16/07/2019 03:00,21.72390556,25.31690025,28.28870773,30.30767632,31.97790146,32.59052277,32.27308273,35.26240158,37.61918259,38.8
